session,acquisition,status
20171213x1012,3D PASL,deleted
20171213x1012,ABCD_T1w_MPR_vNav_setter,deleted
20171213x1012,Perfusion_Weighted,deleted
20171213x1012,long rsfMRI P-A,deleted
20171213x1012,ABCD_T1w_MPR_vNav_moco_ND RMS,deleted
20171213x1012,long DTI P-A,deleted
20170920x1313,ABCD_T1w_MPR_vNav_setter,deleted
20171213x1012,Sagittal MP-Rage,deleted
20171213x1012,ABCD_T1w_MPR_vNav_passive_ND RMS,deleted
20171213x1012,ABCD_T1w_MPR_vNav_moco,deleted
20171213x1012,ABCD_T1w_MPR_vNav_moco_ND,deleted
20171213x1012,ABCD_T1w_MPR_vNav_passive,deleted
20171213x1012,PhoenixZIPReport,deleted
20171213x1012,ABCD_T1w_MPR_vNav_passive_ND,deleted
20171213x1012,long DTI P-A_TENSOR,deleted
20171213x1012,AX FLAIR 3mm,deleted
20170920x1313,ABCD_T1w_MPR_vNav_moco,deleted
20170920x1313,3D PASL,deleted
20170920x1313,ABCD_T1w_MPR_vNav_passive_ND RMS,deleted
20170920x1313,PhoenixZIPReport,deleted
20170920x1313,long DTI P-A,deleted
20170920x1313,AX FLAIR 3mm,deleted
20170920x1313,ABCD_T1w_MPR_vNav_passive,deleted
20170920x1313,ABCD_T1w_MPR_vNav_setter,deleted
20170920x1313,Perfusion_Weighted,deleted
20170920x1313,Localizer,deleted
20170920x1313,ABCD_T1w_MPR_vNav_passive_ND,deleted
20170920x1313,long DTI P-A_TENSOR,deleted
20170920x1313,ABCD_T1w_MPR_vNav_setter,deleted
20170920x1313,long rsfMRI P-A,deleted
20180605x1417,ABCD_T1w_MPR_vNav_passive,deleted
20180605x1417,ABCD_T1w_MPR_vNav_setter,deleted
20180605x1417,PhoenixZIPReport,deleted
20071009x1020,DTI_30dir_noDiCo_vox2_1000,deleted
20071009x1020,ep2d_fairest_UI_M0,deleted
20071009x1020,DTI_30dir_noDiCo_vox2_1000,deleted
20071009x1020,DTI_30dir_noDiCo_vox2_1000,deleted
20071009x1020,localizer,deleted
20071009x1020,MoCoSeries,deleted
20071009x1020,ep2d_fairest_UI_1500ms,deleted
20071009x1020,MoCoSeries,deleted
20180605x1417,3D PASL,deleted
20071009x1020,localizer,deleted
20071009x1020,MoCoSeries,deleted
20071009x1020,MoCoSeries,deleted
20071009x1020,t2_nex_1,deleted
20071009x1020,csi_se_30_unsup,deleted
20190710x1517,ABCD_T1w_MPR_vNav_setter,deleted
20071009x1020,csi_se_30,deleted
20071009x1020,MoCoSeries,deleted
20060802x1113,t2_tse_tra,deleted
20060802x1113,fieldmap_GRE,deleted
20060802x1113,ep2d_diff_MDDW_12,deleted
20060802x1113,localizer,deleted
20060802x1113,t1_se_sag,deleted
20060802x1113,pd_tse_tra,deleted
20050209x1135,localizer,deleted
20050209x1135,t1_se_sag,deleted
20050209x1135,ep2d_casl_AM_UI_1500ms,deleted
20050209x1135,MoCoSeries,deleted
20050209x1135,pd_tse_tra,deleted
20050209x1135,t2_tse_tra,deleted
20050209x1135,DTI_12dir,deleted
20050209x1135,field_map,deleted
20050209x1135,field_map,deleted
20190710x1517,T2_2D_0.4x0.4x1.2mm_180flip_aa_temp,deleted
20190710x1517,rfMRI_REST_PA_PhysioLog,deleted
20190710x1517,SPIRAL_V20_HCP_M0,deleted
20190710x1517,T2_2D_0.4x0.4x1.2mm_180flip_aa_temp _ND,deleted
20180605x1417,long DTI P-A_TENSOR,deleted
20190710x1517,AAHead_Scout_MPR_tra,deleted
20190710x1517,AAHead_Scout_MPR_cor,deleted
20190710x1517,ABCD_T1w_MPR_vNav_passive _ND,deleted
20190710x1517,Localizer,deleted
20190710x1517,AAHead_Scout_MPR_sag,deleted
20190710x1517,ABCD_T1w_MPR_vNav_passive _ND RMS,deleted
20190710x1517,AAHead_Scout,deleted
20190710x1517,ABCD_T1w_MPR_vNav_setter,deleted
20190710x1517,ABCD_T1w_MPR_vNav_passive,deleted
20190710x1517,ABCD_T1w_MPR_vNav_setter,deleted
20190710x1517,ABCD_T2w_SPC_vNav_setter,deleted
20190710x1517,rfMRI_REST_PA,deleted
20190710x1517,ABCD_T2w_SPC_vNav_setter,deleted
20190710x1517,ABCD_T1w_MPR_vNav_setter,deleted
20190710x1517,T2w_SPC_vNav_passive ,deleted
20190710x1517,ABCD_T1w_MPR_vNav_moco_ND RMS,deleted
20190710x1517,ABCD_dMRI,deleted
20190710x1517,ABCD_T1w_MPR_vNav_moco,deleted
20190710x1517,SpinEchoFieldMap_AP,deleted
20190710x1517,T2_2D_0.4x0.4x1.2mm_180flip_aa_temp REPEAT_ND,deleted
20190710x1517,T2w_SPC_vNav_passive _ND,deleted
20190710x1517,SPIRAL_V20_HCP_ASL,deleted
20190710x1517,rfMRI_REST_PA_SBRef,deleted
20190710x1517,ABCD_T1w_MPR_vNav_moco_ND,deleted
20190710x1517,T2_2D_0.4x0.4x1.2mm_180flip_aa_temp REPEAT,deleted
20190710x1517,PhoenixZIPReport,deleted
20190710x1517,ABCD_dMRI_DistortionMap_AP,deleted
20190710x1517,SPIRAL_V20_HCP_MeanPerf,deleted
20190710x1517,SpinEchoFieldMap_PA,deleted
20171213x1012,Localizer,deleted
20170810x1221,long DTI P-A,deleted
20170810x1221,Sagittal MP-Rage,deleted
20090331x0933,DTI_30dir_noDiCo_vox2_1000,deleted
20090331x0933,MoCoSeries,deleted
20090331x0933,ep2d_bold_restingZE6min,deleted
20090331x0933,ep2d_fairest_UI_M0,deleted
20090331x0933,MoCoSeries,deleted
20090331x0933,localizer,deleted
20090331x0933,csi_se_30_unsup,deleted
20090331x0933,ep2d_fairest_UI_1500ms,deleted
20111220x1256,t2_tse_tra8CHANNEL,deleted
